id_subsistema,id_estado,nom_localizacao,nom_tipousina,val_geracaoprogramada,val_geracaoverificada,val_capacidadeinstalada,val_fatorcapacidade,data
NE,CE,Litoral,Eólica,49.5,28.646,54.6,0.5246520146520146,2009-07-04
NE,CE,Litoral,Eólica,95.0,89.762,105.0,0.8548761904761903,2009-07-04
NE,RN,Litoral,Eólica,0.0,39.751,51.0,0.7794313725490196,2009-07-04
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-04
S,RS,,Eólica,0.0,10.017,70.0,0.1431,2009-07-04
NE,CE,Litoral,Eólica,48.0,34.462,54.6,0.6311721611721611,2009-07-04
NE,CE,Litoral,Eólica,84.0,84.788,105.0,0.807504761904762,2009-07-05
NE,RN,Litoral,Eólica,0.0,34.645,51.0,0.679313725490196,2009-07-05
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-05
S,RS,,Eólica,0.0,20.241,70.0,0.2891571428571428,2009-07-05
NE,CE,Litoral,Eólica,47.5,42.936,54.6,0.7863736263736263,2009-07-05
NE,CE,Litoral,Eólica,65.0,86.16,105.0,0.8205714285714285,2009-07-05
NE,RN,Litoral,Eólica,0.0,27.555,51.0,0.5402941176470588,2009-07-05
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-05
S,RS,,Eólica,0.0,30.265,70.0,0.4323571428571428,2009-07-05
NE,CE,Litoral,Eólica,48.0,35.53,54.6,0.6507326007326008,2009-07-05
NE,CE,Litoral,Eólica,54.5,80.057,105.0,0.762447619047619,2009-07-05
NE,RN,Litoral,Eólica,0.0,19.703,51.0,0.3863333333333333,2009-07-05
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-05
S,RS,,Eólica,0.0,30.297,70.0,0.4328142857142857,2009-07-05
NE,CE,Litoral,Eólica,47.5,39.766,54.6,0.7283150183150183,2009-07-05
NE,CE,Litoral,Eólica,51.5,58.421,105.0,0.5563904761904761,2009-07-05
NE,RN,Litoral,Eólica,0.0,13.326,51.0,0.2612941176470588,2009-07-05
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-05
S,RS,,Eólica,0.0,24.513,70.0,0.3501857142857142,2009-07-05
NE,CE,Litoral,Eólica,49.0,38.136,54.6,0.6984615384615384,2009-07-05
NE,CE,Litoral,Eólica,33.0,20.197,105.0,0.1923523809523809,2009-07-05
NE,RN,Litoral,Eólica,0.0,4.582,51.0,0.0898431372549019,2009-07-05
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-05
S,RS,,Eólica,0.0,16.726,70.0,0.2389428571428571,2009-07-05
NE,CE,Litoral,Eólica,38.5,33.42,54.6,0.612087912087912,2009-07-06
NE,CE,Litoral,Eólica,14.0,13.317,105.0,0.1268285714285714,2009-07-06
NE,RN,Litoral,Eólica,0.0,1.618,51.0,0.0317254901960784,2009-07-06
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-06
S,RS,,Eólica,0.0,13.907,70.0,0.1986714285714285,2009-07-06
NE,CE,Litoral,Eólica,40.5,28.507,54.6,0.5221062271062271,2009-07-06
NE,CE,Litoral,Eólica,14.5,6.468,105.0,0.0616,2009-07-06
NE,RN,Litoral,Eólica,0.0,2.318,51.0,0.0454509803921568,2009-07-06
